,Parameter,splib07a_Alunite_AL706_Na100_BECKb_AREF.txt
0,HCPINDEX2,-0.053022429167261985
1,LCPINDEX2,-0.10041588206741128
2,OLINDEX3,-0.805968775605603
3,SINDEX2,0.18663065832636405
4,GINDEX,0.10552376219128373
5,D460,0.022968209637277304
6,BD530_2,-0.04764925512064311
7,BD670,0.0010126921718871529
8,D700,0.00026843362714057406
9,BD875,-0.0015683411738962594
10,BD905,0.000386899266906382
11,BD920_2,0.00646549149623854
12,BD1200,-0.006682469249573053
13,BD1300,0.006137078305962773
14,BD1400,-0.03747383076521471
15,BD1450,0.11033801971769341
16,BD1750,0.10562884271482165
17,BD1900r2,0.0019246161617691993
18,BD1900_2,-0.0024520112068366906
19,BD2100_2,0.1433658055666449
20,BD2100_3,-0.018078303695821862
21,BD2165,0.2061483588614138
22,BD2190,0.27317977234881163
23,D2200,-0.1987939755042465
24,BD2210_2,0.0439372741797609
25,BD2250,-0.1058242604045283
26,BD2265,-0.18266351827204197
27,BD2290,-0.11553407694551532
28,D2300,-0.33351115297508405
29,BD2355,-0.04105713932863986
30,BDCARB,0.0587886970298257
31,MIN2295_2480,-0.216762838116501
32,MIN2250,-0.30613111058649833
33,MIN2345_2537,-0.06957720751114516
34,ISLOPE,0.5775868373071527
35,RPEAK1,0.8309096161192238
36,BDI1000VIS,0.18782804457491276
37,IRR2,0.7585500277903515
