,Parameter,splib07a_BasaltFresh_BR93-46B_BECKb_AREF.txt
0,HCPINDEX2,0.015107753191151862
1,LCPINDEX2,-0.016465022679841224
2,OLINDEX3,0.12378034620763313
3,SINDEX2,-0.0223292437843865
4,GINDEX,-0.017515396252319782
5,D460,0.004443878362955678
6,BD530_2,0.02447216898536797
7,BD670,-0.009916076043016586
8,D700,0.0011117619747873508
9,BD875,-0.02581419088911474
10,BD920_2,0.07478255840752623
11,BD1200,-0.018902076790027866
12,BD1300,-0.03998673925296625
13,BD1400,0.008767392368381643
14,BD1450,0.01744541883452233
15,BD1750,-0.01751540717640787
16,BD1900r2,0.05091285049047212
17,BD1900_2,0.05771131008126029
18,BD2100_2,-0.052188436650157266
19,BD2100_3,-0.017521173510274712
20,BD2165,-0.0010696651197532603
21,BD2190,-0.008870965475536119
22,D2200,0.023701625444571994
23,BD2210_2,0.019254518649825636
24,BD2250,0.03139557052168107
25,BD2265,0.006786317335420011
26,BD2290,-0.002507217738764611
27,D2300,0.01123076763989228
28,BD2355,-0.0023600609560967545
29,BDCARB,0.019439508978647213
30,MIN2295_2480,0.010775668385945347
31,MIN2250,0.016980646016087397
32,MIN2345_2537,-0.010748738716924056
33,ISLOPE,0.02570789831697054
34,RPEAK1,0.11459191059112239
35,BDI1000VIS,0.17488444815525772
36,IRR2,0.9462931924205291
