,Parameter,splib07a_Chlorite_HS179.3B_ASDFRb_AREF.txt
0,HCPINDEX2,-0.04591802851617548
1,LCPINDEX2,-0.2152054947650812
2,OLINDEX3,0.17686961494315268
3,SINDEX2,-0.02344304724197399
4,GINDEX,-0.0013247296686055819
5,D460,0.02551463327075787
6,BD530_2,-0.05082425508926036
7,BD670,0.005084885683720564
8,D700,0.013050469754193106
9,BD875,0.031247051337900178
10,BD920_2,0.006254618325851613
11,BD1200,0.021130933246951034
12,BD1300,0.14156139564921488
13,BD1400,0.06612890333781019
14,BD1450,-0.00013597553052902
15,BD1750,-0.0013247328902055155
16,BD1900r2,0.0010209802750693608
17,BD1900_2,0.011033500392283568
18,BD2100_2,-0.18507323441565826
19,BD2100_3,-0.004300358017925943
20,BD2165,-0.04096320931284114
21,BD2190,-0.13063386456412918
22,D2200,0.026573787375676727
23,BD2210_2,-0.06504334120293742
24,BD2250,0.014490989546873556
25,BD2265,-0.09214918970255925
26,BD2290,-0.07532187494789877
27,D2300,0.2900335271401243
28,BD2355,0.059987651149280286
29,MIN2250,-0.06695103910071687
30,ISLOPE,0.16170855645380391
31,RPEAK1,0.26828139346649227
32,BDI1000VIS,0.19835805056842482
33,IRR2,0.7752852437627179
