,Parameter,splib07a_Gypsum_HS333.1B_(Selenite)_ASDFRa_AREF.txt
0,HCPINDEX2,-0.08209644584934706
1,LCPINDEX2,-0.15672378334205647
2,OLINDEX3,-0.48215212553724596
3,SINDEX2,0.1186056341166215
4,GINDEX,0.1161904468559981
5,D460,0.00044038255232847767
6,BD530_2,-0.017663021071784746
7,BD670,-0.0034432414860361416
8,D700,-0.0018842072197009507
9,BD875,-0.0044531141139361186
10,BD920_2,-0.01678271346781468
11,BD1200,0.03655786553457219
12,BD1300,-0.015107928976112017
13,BD1400,-0.03399588116806296
14,BD1450,0.1634511506808074
15,BD1750,0.11613694146957698
16,BD1900r2,0.3847401411733291
17,BD1900_2,0.45116435107663255
18,BD2100_2,-0.21278164070527494
19,BD2100_3,-0.10455582961326515
20,BD2165,0.023218929181066272
21,BD2190,0.0448913709798352
22,D2200,-0.014308057581062794
23,BD2210_2,0.055720548406845816
24,BD2250,0.04208900228020651
25,BD2265,0.048722488277868514
26,BD2290,-0.024541987491955464
27,D2300,-0.19086536974005108
28,BD2355,-0.09765032133728924
29,MIN2250,0.017571131619805058
30,ISLOPE,0.5856314796542306
31,RPEAK1,0.8822399358168971
32,BDI1000VIS,0.1899179966190856
33,IRR2,0.6450892244248113
