,Parameter,splib07a_Nontronite_NG-1.a_BECKb_AREF.txt
0,HCPINDEX2,-0.18885464998332802
1,LCPINDEX2,-0.11191654622793176
2,OLINDEX3,0.19650519643595504
3,SINDEX2,-0.038054622394776194
4,GINDEX,-0.007050760952087938
5,D460,-0.20366181006940853
6,BD530_2,-0.0636784060550537
7,BD670,0.10222427890021102
8,D700,0.06150096444602027
9,BD875,0.006082164136016033
10,BD905,0.16241396307913847
11,BD920_2,0.17215406278968615
12,BD1200,-0.018124259773870888
13,BD1300,-0.17302059699459504
14,BD1400,0.02486234901793316
15,BD1450,0.17792283217170568
16,BD1750,-0.007052312113613901
17,BD1900r2,0.41106091116527266
18,BD1900_2,0.3878711014223274
19,BD2100_2,-0.22258976242844808
20,BD2100_3,-0.09872590277939097
21,BD2165,-0.03825082388045087
22,BD2190,-0.04429741583063462
23,D2200,-0.002084294280887633
24,BD2210_2,-0.06538921764750683
25,BD2250,-0.02794203832461961
26,BD2265,0.008317377234389522
27,BD2290,0.16768330728865344
28,D2300,0.06849938478042217
29,BD2355,-0.16374978097474147
30,BDCARB,0.031567667229369656
31,MIN2295_2480,0.049471994413804565
32,MIN2250,-0.010027250580554314
33,MIN2345_2537,-0.06411935319573225
34,ISLOPE,0.36063542075736316
35,RPEAK1,0.7976043972894579
36,BDI1000VIS,0.16949686519118412
37,IRR2,0.550515449416169
