,Parameter,splib07a_Olivine_GDS70.a_Fo89_165um_BECKb_AREF.txt
0,HCPINDEX2,-0.01565030448700431
1,LCPINDEX2,-0.23772445336143777
2,OLINDEX3,0.728888875464599
3,SINDEX2,-0.009053436470636944
4,GINDEX,-0.020866194554678273
5,D460,-0.16669815989988335
6,BD530_2,-0.19242999189688104
7,BD670,-0.0033690150151137743
8,D700,-0.004497661799250707
9,BD875,0.04518383776057555
10,BD920_2,0.18825435026299964
11,BD1200,-0.018342897741511655
12,BD1300,0.604496297356971
13,BD1400,0.062249304584733434
14,BD1450,0.0706991461932247
15,BD1750,-0.020866207778073687
16,BD1900r2,0.006540801818417985
17,BD1900_2,0.003089158662218594
18,BD2100_2,-0.012700877562922264
19,BD2100_3,-0.007051581456920308
20,BD2165,0.0003866469188934518
21,BD2190,-0.00048538473636372537
22,D2200,0.006564603352516185
23,BD2210_2,0.0020545163874726713
24,BD2250,0.007704064905997843
25,BD2265,0.006183711837632333
26,BD2290,0.003171674886488174
27,D2300,0.007988323195596614
28,BD2355,-0.008061186285756916
29,BDCARB,-0.0015829955626387449
30,MIN2295_2480,-0.00046785914576297216
31,MIN2250,0.004481473674813885
32,MIN2345_2537,-0.003177323810487076
33,ISLOPE,-0.042322061711079946
34,RPEAK1,0.3989593962466049
35,BDI1000VIS,0.07381586390735073
36,IRR2,1.0225601144277296
