,Parameter,splib07a_Prehnite_GDS613.a_lt60um_ASDFRa_AREF.txt
0,HCPINDEX2,-0.02911161898246165
1,LCPINDEX2,-0.07021848521409842
2,OLINDEX3,0.08742305100772518
3,SINDEX2,0.035366803146548165
4,GINDEX,0.0018974181027253906
5,D460,0.026912619692719963
6,BD530_2,-0.025849807895587107
7,BD670,-0.001387123550673941
8,D700,-0.0003285199380980153
9,BD875,0.0015334904976680441
10,BD905,0.007968871191162297
11,BD920_2,0.009652708843332358
12,BD1200,-0.0015916860531308696
13,BD1300,-0.020248645486880656
14,BD1400,-0.046725108083026656
15,BD1450,0.03976932694798685
16,BD1750,0.0018835930736097461
17,BD1900r2,0.04044797442871528
18,BD1900_2,0.04623079239528549
19,BD2100_2,-0.1470138886831469
20,BD2100_3,-0.08193163410892268
21,BD2165,-0.07705867342077166
22,BD2190,-0.06813287830254522
23,D2200,0.11418765940639364
24,BD2210_2,0.014155401107406429
25,BD2250,-0.10550934819616864
26,BD2265,-0.25039549802418226
27,BD2290,-0.17485957098858318
28,D2300,0.1863557611238491
29,BD2355,0.4215258148127251
30,MIN2250,-0.19166851562757592
31,ISLOPE,0.2998904379402099
32,RPEAK1,0.89200002
33,BDI1000VIS,0.19052484691464222
34,IRR2,0.7700474900662159
